LinkNo,Node1,Node2,Dist,Width
1,1,2,128,1.5
2,2,3,110,1.3
3,3,4,94,1.3
4,9,1,270,1.3
5,9,2,290,1.5
6,9,3,255,1.3
7,9,4,310,1.6
8,11,5,135,1.6
9,11,6,102,1.6
10,11,7,263,1.6
11,4,5,285,1.9
12,5,6,220,1.3
13,6,7,157,1.3
14,7,8,265,2.9
15,10,2,356,1.3
16,10,3,265,1.5
17,10,4,245,1.4
18,10,5,100,1.8
19,10,6,200,1.9
20,9,10,200,1.5
21,10,11,230,1.4
28,27,20,150,1.2
29,20,23,160,1.3
30,19,27,150,1.3
31,19,20,75,1.2
32,19,23,120,1.2
33,18,11,230,1.3
34,21,11,180,1.3
35,22,11,130,1.3
36,26,11,350,1.3
37,19,22,210,1.2
38,23,22,200,1.2
39,13,10,150,1.2
40,14,10,110,1.2
41,13,9,180,1.2
42,15,9,220,1.2
43,16,9,320,1.2
44,16,10,240,1.2
45,17,10,190,1.3
46,24,10,350,1.3
47,25,10,300,1.3
48,28,10,410,1.3
49,13,14,50,1.3
50,15,16,90,1.2
51,16,17,80,1.3
52,25,17,40,1.2
53,24,25,120,1.3
54,28,24,70,1.3
55,28,25,145,1.2
56,28,15,170,1.3
57,28,16,140,1.2
58,28,17,170,1.3
59,28,27,750,1.5
60,25,18,120,1.3
61,25,26,100,1.3
62,18,21,100,1.3
63,18,22,170,1.3
64,26,22,150,1.4
65,26,21,110,1.4
66,24,26,210,1.5
67,25,11,280,1.4
68,14,11,340,1.4
69,17,11,270,1.3
70,28,9,300,1.4
71,17,9,290,1.4
72,26,10,310,1.4
73,19,10,610,1.3
74,20,10,670,1.3
75,26,27,500,1.4
76,26,19,410,1.4
77,20,19,50,1.2
81,8,7,120,2.4
82,8,11,350,2.1
83,6,11,120,1.6
84,5,11,90,1.6
85,5,10,90,1.8
86,4,10,110,1.4
87,3,10,140,1.5
88,5,4,130,1.9
89,4,3,80,1.3
90,3,2,80,1.3
92,2,1,90,1.5
92,1,9,180,1.3
93,10,9,140,1.5
94,11,10,180,1.4
95,14,13,60,1.3
96,9,13,130,1.2
97,10,13,150,1.2
98,9,15,180,1.2
99,16,15,80,1.2
100,17,16,80,1.3
101,14,17,90,1.3
102,17,14,90,1.3
103,17,25,50,1.2
104,10,17,130,1.3
105,18,17,130,1.4
106,25,24,110,1.3
107,24,28,80,1.3
108,15,28,120,1.4
109,10,14,100,1.2
110,17,18,110,1.4
111,11,18,130,1.3
112,18,26,80,1.4
113,26,18,80,1.4
114,21,18,120,1.3
115,22,21,80,1.4
116,21,22,88,1.4
117,21,26,140,1.4
118,22,23,200,1.2
119,23,19,120,1.2
120,23,20,50,1.3
121,26,24,210,1.5
122,27,28,750,1.5
123,11,21,130,1.3
124,20,27,120,1.4
125,23,12,150,1.4
126,12,23,150,1.4
127,19,11,350,1.3
128,23,11,300,1.3
129,20,11,340,1.3
130,27,11,460,1.3



